22:54:29:711;8,5;38855
22:54:29:887;13,4;38863
22:54:30:063;12,8;38879
22:54:30:256;84,1;38888
22:54:30:428;75,7;38952
22:54:30:606;77,1;38970
22:54:30:791;79,1;38985
22:54:30:975;92,0;38988
22:54:31:165;94,7;38995
22:54:31:376;91,6;38998
22:54:31:605;86,4;39001
22:54:31:782;92,2;39002
22:54:32:002;90,6;39004
22:54:32:179;92,5;39005
22:54:32:351;50,0;39007
22:54:32:558;82,1;39025
22:54:32:794;96,9;39061
22:54:32:972;84,2;39066
22:54:33:158;75,8;39083
22:54:33:330;50,5;39097
22:54:33:500;67,4;39102
22:54:33:672;77,8;39105
22:54:33:847;70,6;39110
22:54:34:020;70,0;39111
22:54:34:196;64,8;39112
22:54:34:375;31,4;39112
22:54:34:554;68,5;39114
22:54:34:748;86,4;39113
22:54:34:928;88,6;39111
22:54:35:099;68,7;39114
22:54:35:272;49,5;39117
22:54:35:443;63,2;39118
22:54:35:613;62,3;39118
22:54:35:782;60,1;39118
22:54:35:954;61,8;39119
22:54:36:125;31,9;39120
22:54:36:297;9,6;39120
22:54:36:472;51,8;39123
22:54:36:639;57,1;39123
22:54:36:814;50,3;39139
22:54:36:991;69,7;39142
22:54:37:166;57,7;39140
22:54:37:343;55,2;39143
22:54:37:521;55,9;39145
22:54:37:693;62,2;39144
22:54:37:866;50,8;39138
22:54:38:043;52,2;39139
22:54:38:215;49,7;39134
22:54:38:384;34,1;39135
22:54:38:561;63,0;39138
22:54:38:734;50,2;39138
22:54:38:906;49,4;39138
22:54:39:078;19,7;39137
22:54:39:255;61,0;39137
22:54:39:431;51,1;39137
22:54:39:608;50,3;39137
22:54:39:787;41,5;39139
22:54:39:963;49,5;39141
22:54:40:138;55,2;39141
22:54:40:311;50,3;39142
22:54:40:487;45,5;39141
22:54:40:656;19,2;39140
22:54:40:828;59,4;39141
22:54:41:000;50,3;39141
22:54:41:176;50,0;39142
22:54:41:352;42,6;39146
22:54:41:524;47,1;39152
22:54:41:697;56,8;39154
22:54:41:873;50,5;39155
22:54:42:048;50,3;39154
22:54:42:219;45,5;39155
22:54:42:396;54,1;39157
22:54:42:573;50,5;39157
22:54:42:748;51,4;39157
22:54:42:924;35,8;39160
22:54:43:099;65,2;39161
22:54:43:277;50,7;39160
22:54:43:454;51,1;39161
22:54:43:632;38,4;39163
22:54:43:811;46,4;39163
22:54:43:984;52,6;39163
22:54:44:160;50,0;39164
22:54:44:335;50,9;39164
22:54:44:509;36,2;39172
22:54:44:681;49,7;39172
22:54:44:853;55,8;39173
22:54:45:029;50,3;39173
22:54:45:201;47,7;39173
