22:32:57:740;9,8;37676
22:32:57:911;11,2;37676
22:32:58:087;9,4;37676
22:32:58:265;11,7;37676
22:32:58:433;12,3;37741
22:32:58:602;9,9;37741
22:32:58:775;13,3;37741
22:32:58:948;9,5;37741
22:32:59:128;6,8;37741
22:32:59:302;9,8;37786
22:32:59:469;16,5;37786
22:32:59:641;18,0;37786
22:32:59:811;24,3;37786
22:32:59:981;20,3;37914
22:33:00:155;8,6;37914
22:33:00:334;5,2;37914
22:33:00:515;5,4;37914
22:33:00:690;3,7;37968
22:33:00:865;7,5;37968
22:33:01:036;16,1;37968
22:33:01:204;32,8;38039
22:33:01:374;34,6;38039
22:33:01:542;22,6;38039
