22:57:25:291;14,6;37676
22:57:25:468;11,7;37691
22:57:25:643;7,1;37722
22:57:25:824;13,5;37746
22:57:26:002;11,9;37736
22:57:26:172;11,8;37741
22:57:26:340;16,1;37747
22:57:26:510;7,5;37750
22:57:26:684;6,5;37756
22:57:26:855;14,0;37762
22:57:27:025;16,2;37777
22:57:27:196;13,7;37786
22:57:27:364;19,1;37817
22:57:27:538;15,0;37850
22:57:27:717;8,0;37887
22:57:27:892;5,5;37898
22:57:28:067;5,5;37914
22:57:28:243;4,0;37929
22:57:28:420;10,8;37968
22:57:28:597;18,5;37989
22:57:28:767;33,2;38029
22:57:28:935;17,9;38039
